
n = 1
    s3(2) =    -223.4881774005015131 3
    s4(1) =      61.8537218846380767 3
    s4(2) =      61.8537218846380767 3
    s5(1) =      23.3486276786774347 3
    s5(2) =      23.3486276786774347 3
    s1(1) = -209693.2493377685605083 4
    s1(2) = -209693.2493377685605083 4
    s2(1) =  325687.5075073241023347 4
    s2(2) =  325687.5075073241023347 4
    s3(1) =  243986.1783611297141761 4
    s3(2) =  243986.1783611297141761 4
    s4(1) =  -84072.6082764625170967 4
    s4(2) =  -84072.6082764625170967 4
    s5(1) =  251615.4496902465471067 4
    s5(2) =  251615.4496902465471067 4
    s1(1) = -516414681.8884766697883606 5
    s1(2) = -516414681.8884766697883606 5
    s2(1) = -1905204892.3390631675720215 5
    s2(2) = -1905204892.3390631675720215 5
    s3(1) = -5323971963.4093761444091797 5
    s3(2) = -5323971963.4093761444091797 5
    s4(1) = -3464188.3460937496274710 5
    s4(2) = -3464188.3460937496274710 5
    s5(1) = -485749676.8804688453674316 5
    s5(2) = -485749676.8804688453674316 5

n = 7
    s1(1) =     -87.4688928607851324 3
    s1(2) =     -87.4688928607851324 3
    s2(1) =     267.6163438983260789 3
    s2(2) =     267.6163438983260789 3
    s3(1) =    -223.4846380348783725 3
    s3(2) =    -223.4846380348783725 3
    s4(1) =      61.8484386587515544 3
    s4(2) =      61.8484386587515544 3
    s5(1) =      23.3524158694781327 3
    s5(2) =      23.3524158694781327 3
    s1(1) = -209780.2723541259765625 4
    s1(2) = -209780.2723541259765625 4
    s2(1) =  325720.6388694762135856 4
    s2(2) =  325720.6388694762135856 4
    s3(1) =  243982.7460748672019690 4
    s3(2) =  243982.7460748672019690 4
    s4(1) =  -84078.4492281913408078 4
    s4(2) =  -84078.4492281913408078 4
    s5(1) =  251699.8534011840529274 4
    s5(2) =  251699.8534011840529274 4
    s1(1) = -516428136.5181641578674316 5
    s1(2) = -516428136.5181641578674316 5
    s2(1) = -1905248168.8343756198883057 5
    s2(2) = -1905248168.8343756198883057 5
    s3(1) = -5324060020.3656263351440430 5
    s3(2) = -5324060020.3656263351440430 5
    s4(1) = -3468794.1535156248137355 5
    s4(2) = -3468794.1535156248137355 5
    s5(1) = -485756925.9539063572883606 5
    s5(2) = -485756925.9539063572883606 5

n = 8
    s1(1) =     -87.4576754659414348 3
    s1(2) =     -87.4576754659414348 3
    s2(1) =     267.5927836000918774 3
    s2(2) =     267.5927836000918774 3
    s3(1) =    -223.4785827932414293 3
    s3(2) =    -223.4785827932414293 3
    s4(1) =      61.8439697311259877 3
    s4(2) =      61.8439697311259877 3
    s5(1) =      23.3552152245305429 3
    s5(2) =      23.3552152245305429 3
    s1(1) = -209832.3552719116269145 4
    s1(2) = -209832.3552719116269145 4
    s2(1) =  325735.7108436583657749 4
    s2(2) =  325735.7108436583657749 4
    s3(1) =  243968.7879793166648597 4
    s3(2) =  243968.7879793166648597 4
    s4(1) =  -84079.4157403230346972 4
    s4(2) =  -84079.4157403230346972 4
    s5(1) =  251748.9872222900157794 4
    s5(2) =  251748.9872222900157794 4
    s1(1) = -516440386.1662110090255737 5
    s1(2) = -516440386.1662110090255737 5
    s2(1) = -1905289878.9359381198883057 5
    s2(2) = -1905289878.9359381198883057 5
    s3(1) = -5324153314.7875013351440430 5
    s3(2) = -5324153314.7875013351440430 5
    s4(1) = -3472950.6183593748137355 5
    s4(2) = -3472950.6183593748137355 5
    s5(1) = -485765439.0626954436302185 5
    s5(2) = -485765439.0626954436302185 5

n = 9
    s1(1) =     -87.4481208663433875 3
    s1(2) =     -87.4481208663433875 3
    s2(1) =     267.5725190505384603 3
    s2(2) =     267.5725190505384603 3
    s3(1) =    -223.4709065658506688 3
    s3(2) =    -223.4709065658506688 3
    s4(1) =      61.8401451765559713 3
    s4(2) =      61.8401451765559713 3
    s5(1) =      23.3571353361010488 3
    s5(2) =      23.3571353361010488 3
    s1(1) = -209860.3843200683768373 4
    s1(2) = -209860.3843200683768373 4
    s2(1) =  325738.2722245215554722 4
    s2(2) =  325738.2722245215554722 4
    s3(1) =  243948.3140481948503293 4
    s3(2) =  243948.3140481948503293 4
    s4(1) =  -84077.0871915101743070 4
    s4(2) =  -84077.0871915101743070 4
    s5(1) =  251773.2731300353771076 4
    s5(2) =  251773.2731300353771076 4
    s1(1) = -516448667.1535156965255737 5
    s1(2) = -516448667.1535156965255737 5
    s2(1) = -1905303997.2171881198883057 5
    s2(2) = -1905303997.2171881198883057 5
    s3(1) = -5324177264.9710950851440430 5
    s3(2) = -5324177264.9710950851440430 5
    s4(1) = -3476113.6150390622206032 5
    s4(2) = -3476113.6150390622206032 5
    s5(1) = -485764831.4455079436302185 5
    s5(2) = -485764831.4455079436302185 5

n = 10
    s1(1) =     -87.4400280857458796 3
    s1(2) =     -87.4400280857458796 3
    s2(1) =     267.5551275715230872 3
    s2(2) =     267.5551275715230872 3
    s3(1) =    -223.4624122116249794 3
    s3(2) =    -223.4624122116249794 3
    s4(1) =      61.8368859383277680 3
    s4(2) =      61.8368859383277680 3
    s5(1) =      23.3583480929955769 3
    s5(2) =      23.3583480929955769 3
    s1(1) = -209872.2236404419236351 4
    s1(2) = -209872.2236404419236351 4
    s2(1) =  325732.2739531515981071 4
    s2(2) =  325732.2739531515981071 4
    s3(1) =  243924.2944444656022824 4
    s3(2) =  243924.2944444656022824 4
    s4(1) =  -84072.6740475892729592 4
    s4(2) =  -84072.6740475892729592 4
    s5(1) =  251780.8400482177385129 4
    s5(2) =  251780.8400482177385129 4
    s1(1) = -516456245.3421875834465027 5
    s1(2) = -516456245.3421875834465027 5
    s2(1) = -1905320950.8875005245208740 5
    s2(2) = -1905320950.8875005245208740 5
    s3(1) = -5324212828.2109384536743164 5
    s3(2) = -5324212828.2109384536743164 5
    s4(1) = -3478974.5269531249068677 5
    s4(2) = -3478974.5269531249068677 5
    s5(1) = -485767108.5386720299720764 5
    s5(2) = -485767108.5386720299720764 5
