
n = 1:
   sh3(5) =  -0.4837920 3
   sh3(6) =  -0.4837920 3
   sh3(7) =  -0.4837920 3
   sh3(8) =  -0.4837920 3
   sh4(1) =  -1.0909195 3
   sh4(2) =  -1.0909195 3
   sh4(3) =  -1.0909195 3
   sh4(4) =  -1.0909195 3
   sh4(5) =  -1.0909195 3
   sh4(6) =  -1.0909195 3
   sh4(7) =  -1.0909195 3
   sh4(8) =  -1.0909195 3
   om1(1) = 614.5175831 5
   om1(2) = 614.5175831 5
   om1(3) = 614.5175831 5
   om1(4) = 614.5175831 5
   om1(5) = 614.5175831 5
   om1(6) = 614.5175831 5
   om1(7) = 614.5175831 5
   om1(8) = 614.5175831 5
   om1(9) = 614.5175831 5
   om1(10) = 614.5175831 5
   om2(1) = -952.3566969 5
   om2(2) = -952.3566969 5
   om2(3) = -952.3566969 5
   om2(4) = -952.3566969 5
   om2(5) = -952.3566969 5
   om2(6) = -952.3566969 5
   om2(7) = -952.3566969 5
   om2(8) = -952.3566969 5
   om2(9) = -952.3566969 5
   om2(10) = -952.3566969 5
sh2_dw(1) =   1.1856818 3
sh2_dw(2) =   1.1856818 3
sh3_dw(1) =   0.5178842 3
sh3_dw(2) =   0.5178842 3
sh4_dw(1) =  -2.6710548 3
sh4_dw(2) =  -2.6710548 3

n = 3:
   sl1(1) =  -2.6797355 3
   sl1(2) =  -2.6797355 3
   sl1(3) =  -2.6797355 3
   sl1(4) =  -2.6797355 3
   sl1(5) =  -2.6797355 3
   sl1(6) =  -2.6797355 3
   sl1(7) =  -2.6797355 3
   sl1(8) =  -2.6797355 3
   sl1(9) =  -2.6797355 3
   sl1(10) =  -2.6797355 3
   sl2(1) =   4.2840189 3
   sl2(2) =   4.2840189 3
   sl2(3) =   4.2840189 3
   sl2(4) =   4.2840189 3
   sl2(5) =   4.2840189 3
   sl2(6) =   4.2840189 3
   sl2(7) =   4.2840189 3
   sl2(8) =   4.2840189 3
   sl2(9) =   4.2840189 3
   sl2(10) =   4.2840189 3
   sl3(1) =  -3.0147674 3
   sl3(2) =  -3.0147674 3
   sl3(3) =  -3.0147674 3
   sl3(4) =  -3.0147674 3
   sl3(5) =  -3.0147674 3
   sl3(6) =  -3.0147674 3
   sl3(7) =  -3.0147674 3
   sl3(8) =  -3.0147674 3
   sl3(9) =  -3.0147674 3
   sl3(10) =  -3.0147674 3
   sm1(1) =  -2.4443559 3
   sm1(2) =  -2.4443559 3
   sm1(3) =  -2.4443559 3
   sm1(4) =  -2.4443559 3
   sm1(5) =  -2.4443559 3
   sm1(6) =  -2.4443559 3
   sm1(7) =  -2.4443559 3
   sm1(8) =  -2.4443559 3
   sm1(9) =  -2.4443559 3
   sm1(10) =  -2.4443559 3
   sm1(11) =  -2.4443559 3
   sm1(12) =  -2.4443559 3
   sm1(13) =  -2.4443559 3
   sm1(14) =  -2.4443559 3
   sm1(15) =  -2.4443559 3
   sm1(16) =  -2.4443559 3
   sm1(17) =  -2.4443559 3
   sm1(18) =  -2.4443559 3
   sm1(19) =  -2.4443559 3
   sm1(20) =  -2.4443559 3
   sm2(1) =   3.1714349 3
   sm2(2) =   3.1714349 3
   sm2(3) =   3.1714349 3
   sm2(4) =   3.1714349 3
   sm2(5) =   3.1714349 3
   sm2(6) =   3.1714349 3
   sm2(7) =   3.1714349 3
   sm2(8) =   3.1714349 3
   sm2(9) =   3.1714349 3
   sm2(10) =   3.1714349 3
   sh2(1) =   0.1094125 3
   sh2(2) =   0.1094125 3
   sh2(3) =   0.1094125 3
   sh2(4) =   0.1094125 3
   sh2(5) =   0.1094125 3
   sh2(6) =   0.1094125 3
   sh2(7) =   0.1094125 3
   sh2(8) =   0.1094125 3
   sh3(1) =   2.0081040 3
   sh3(2) =   2.0081040 3
   sh3(3) =   2.0081040 3
   sh3(4) =   2.0081040 3
   sh3(5) =   2.0081040 3
   sh3(6) =   2.0081040 3
   sh3(7) =   2.0081040 3
   sh3(8) =   2.0081040 3
   sh4(1) =  -2.7954598 3
   sh4(2) =  -2.7954598 3
   sh4(3) =  -2.7954598 3
   sh4(4) =  -2.7954598 3
   sh4(5) =  -2.7954598 3
   sh4(6) =  -2.7954598 3
   sh4(7) =  -2.7954598 3
   sh4(8) =  -2.7954598 3
   om1(1) = 609.7402063 5
   om1(2) = 609.7402063 5
   om1(3) = 609.7402063 5
   om1(4) = 609.7402063 5
   om1(5) = 609.7402063 5
   om1(6) = 609.7402063 5
   om1(7) = 609.7402063 5
   om1(8) = 609.7402063 5
   om1(9) = 609.7402063 5
   om1(10) = 609.7402063 5
   om2(1) = -959.0250447 5
   om2(2) = -959.0250447 5
   om2(3) = -959.0250447 5
   om2(4) = -959.0250447 5
   om2(5) = -959.0250447 5
   om2(6) = -959.0250447 5
   om2(7) = -959.0250447 5
   om2(8) = -959.0250447 5
   om2(9) = -959.0250447 5
   om2(10) = -959.0250447 5
sh2_dw(1) =   2.1809639 3
sh2_dw(2) =   2.1809639 3
sh3_dw(1) =  -1.9910579 3
sh3_dw(2) =  -1.9910579 3
sh4_dw(1) =  -0.3813919 3
sh4_dw(2) =  -0.3813919 3

n = 4:
   sl1(1) =  -2.4018923 3
   sl1(2) =  -2.4018923 3
   sl1(3) =  -2.4018923 3
   sl1(4) =  -2.4018923 3
   sl1(5) =  -2.4018923 3
   sl1(6) =  -2.4018923 3
   sl1(7) =  -2.4018923 3
   sl1(8) =  -2.4018923 3
   sl1(9) =  -2.4018923 3
   sl1(10) =  -2.4018923 3
   sl2(1) =   4.1834766 3
   sl2(2) =   4.1834766 3
   sl2(3) =   4.1834766 3
   sl2(4) =   4.1834766 3
   sl2(5) =   4.1834766 3
   sl2(6) =   4.1834766 3
   sl2(7) =   4.1834766 3
