# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.20667 1.07867
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
  19 -7.6541316932884679e-05 -3.9039816047315508e-04 -3.5593428317242238e-03 -2.0197965623769839e-03  0.0000000000000000e+00 -1.7542251479844292e-01
  20  1.3901108369220990e-04  1.7961147238250303e-04 -4.1264583219226035e-03  3.2031718203172090e-05  0.0000000000000000e+00 -1.5965875908728841e-01
  21  2.1058104972144419e-04  6.2547411900702623e-04 -3.6656391340608480e-03  2.0102261438117506e-03  0.0000000000000000e+00 -1.5404544636758119e-01
  22  7.5811455654117962e-05  4.8192726265358784e-04 -2.3233872185723071e-03  3.4991874114562263e-03  0.0000000000000000e+00 -1.6926131353061180e-01
  23 -3.0141276719688732e-04 -1.1963448362631190e-04 -5.6718798523553858e-04  4.3253809436433347e-03  0.0000000000000000e+00 -1.9961012945047790e-01
  24 -6.8161565359674758e-04 -5.1332741721666557e-04  1.1251731903327749e-03  4.2861081187369364e-03  0.0000000000000000e+00 -2.2651691780875854e-01
  25 -5.3533396323144234e-04 -3.1950899068642556e-04  2.6201508268046403e-03  3.1715481927938848e-03  0.0000000000000000e+00 -2.3442902169039920e-01
  26  1.1463729720302075e-04  1.4190369800016093e-04  3.8144908445592860e-03  1.3181230904548006e-03  0.0000000000000000e+00 -2.2314094937935153e-01
  27  5.3122102346256264e-04  3.4501775469446635e-04  4.1445804328655916e-03 -6.8389846491904397e-04  0.0000000000000000e+00 -2.1008247714831374e-01
  28  2.4921103224116004e-04  2.7103464502377741e-04  3.2714285860658394e-03 -2.5055608836471025e-03  0.0000000000000000e+00 -2.1217261843649854e-01
  29 -3.7625725668923672e-04  1.4738601926249395e-04  1.7070596364760996e-03 -3.9165690272643418e-03  0.0000000000000000e+00 -2.3290180865179419e-01
  30 -7.1106740935894172e-04 -2.1995372926462594e-05  5.3654301853081001e-05 -4.5154028547018197e-03  0.0000000000000000e+00 -2.6343033253442588e-01
