# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    2.27   0.00
    2.18   0.29
    3.05   0.82
    2.55   1.06
    2.32   1.34
    3.98   3.05
    3.71   3.71
    3.15   4.10
    2.91   5.03
    2.64   6.38
    1.84   6.88
    0.92   7.00
    0.00   8.39
   -1.14   8.64
   -2.43   9.08
   -4.33  10.44
   -4.77   8.26
   -5.81   7.57
   -5.37   5.37
   -4.57   3.51
   -6.47   3.74
   -6.25   2.59
   -7.36   1.97
   -7.61   1.00
   -6.66   0.01
