# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    5.47   0.01
    5.42   0.71
    1.32   0.35
    1.26   0.52
    1.26   0.73
    1.22   0.94
    1.23   1.23
    1.16   1.51
    1.10   1.90
    1.00   2.41
    0.82   3.07
    0.45   3.45
    0.00   3.42
   -0.64   4.82
   -0.96   3.60
   -0.85   2.04
   -0.73   1.26
   -0.66   0.86
   -0.67   0.67
   -0.66   0.51
   -0.63   0.36
   -0.59   0.24
   -0.60   0.16
   -0.62   0.08
   -0.62   0.00
