
n = 1:
     sm2h(4) = -11.2520490 3

n = 10:
      ss1(1) =   5.0053011 3
      ss1(2) =   5.0053011 3
      ss2(1) =  -0.3382835 3
      ss2(2) =  -0.3382835 3
      ss3(1) =  -2.9196010 3
      ss3(2) =  -2.9196010 3
      ls1(1) =  -3.8500859 3
      ls1(2) =  -3.8500859 3
      ls2(1) =   7.1680672 3
      ls2(2) =   7.1680672 3
      ls3(1) =   0.0093913 3
      ls3(2) =   0.0093913 3
      sm1(1) =  10.8276693 3
      sm1(2) =  10.8276693 3
      sm1(3) =  10.8276693 3
      sm1(4) =  10.8276693 3
     sm2h(1) = -11.2520491 3
     sm2h(2) = -11.2520491 3
     sm2h(3) = -11.2520491 3
     sm2h(4) = -11.2520491 3

n = 11:
      ss1(1) =   5.0828287 3
      ss1(2) =   5.0828287 3
      ss2(1) =  -0.3627347 3
      ss2(2) =  -0.3627347 3
      ss3(1) =  -2.9945009 3
      ss3(2) =  -2.9945009 3
      ls1(1) =  -3.8399730 3
      ls1(2) =  -3.8399730 3
      ls2(1) =   7.1998731 3
      ls2(2) =   7.1998731 3
      ls3(1) =  -0.0608482 3
      ls3(2) =  -0.0608482 3
      sm1(1) =  10.8276693 3
      sm1(2) =  10.8276693 3
      sm1(3) =  10.8276693 3
      sm1(4) =  10.8276693 3
     sm2h(1) = -11.2520493 3
     sm2h(2) = -11.2520493 3
     sm2h(3) = -11.2520493 3
     sm2h(4) = -11.2520493 3

n = 12:
      ss1(1) =   5.1451140 3
      ss1(2) =   5.1451140 3
      ss2(1) =  -0.3792190 3
      ss2(2) =  -0.3792190 3
      ss3(1) =  -3.0648278 3
      ss3(2) =  -3.0648278 3
      ls1(1) =  -3.8406584 3
      ls1(2) =  -3.8406584 3
      ls2(1) =   7.2306844 3
      ls2(2) =   7.2306844 3
      ls3(1) =  -0.1173331 3
      ls3(2) =  -0.1173331 3
      sm1(1) =  10.8276694 3
      sm1(2) =  10.8276694 3
      sm1(3) =  10.8276694 3
      sm1(4) =  10.8276694 3
     sm2h(1) = -11.2520494 3
     sm2h(2) = -11.2520494 3
     sm2h(3) = -11.2520494 3
     sm2h(4) = -11.2520494 3

n = 13:
      ss1(1) =   5.1968668 3
      ss1(2) =   5.1968668 3
      ss2(1) =  -0.3898759 3
      ss2(2) =  -0.3898759 3
      ss3(1) =  -3.1317071 3
      ss3(2) =  -3.1317071 3
      ls1(1) =  -3.8469919 3
      ls1(2) =  -3.8469919 3
      ls2(1) =   7.2595309 3
      ls2(2) =   7.2595309 3
      ls3(1) =  -0.1651209 3
      ls3(2) =  -0.1651209 3
      sm1(1) =  10.8276694 3
      sm1(2) =  10.8276694 3
      sm1(3) =  10.8276694 3
      sm1(4) =  10.8276694 3
     sm2h(1) = -11.2520495 3
     sm2h(2) = -11.2520495 3
     sm2h(3) = -11.2520495 3
     sm2h(4) = -11.2520495 3

n = 14:
      ss1(1) =   5.2412212 3
      ss1(2) =   5.2412212 3
      ss2(1) =  -0.3963856 3
      ss2(2) =  -0.3963856 3
      ss3(1) =  -3.1955902 3
      ss3(2) =  -3.1955902 3
      ls1(1) =  -3.8558019 3
      ls1(2) =  -3.8558019 3
      ls2(1) =   7.2858470 3
      ls2(2) =   7.2858470 3
