# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    4.22   0.00
    4.31   0.57
    4.27   1.14
    4.59   1.90
    5.38   3.11
    3.31   2.54
    2.91   2.91
    2.46   3.21
    2.65   4.60
    2.03   4.91
    1.35   5.05
    0.90   6.80
    0.00   8.04
   -1.07   8.16
   -2.50   9.31
   -3.80   9.19
   -4.27   7.40
   -2.80   3.65
   -3.26   3.26
   -3.88   2.98
   -4.04   2.33
   -8.62   3.57
   -5.42   1.45
   -5.65   0.74
   -6.32   0.01
