# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    1.02   0.00
    1.01   0.13
    1.04   0.28
    1.00   0.41
    1.05   0.61
    1.08   0.83
    1.09   1.09
    1.17   1.52
    1.62   2.81
    2.23   5.38
    1.63   6.06
    0.86   6.52
    0.00   6.78
   -1.14   8.66
   -2.35   8.77
   -3.75   9.04
   -4.28   7.42
   -4.68   6.10
   -4.59   4.59
   -2.98   2.28
   -2.34   1.35
   -2.18   0.90
   -2.07   0.55
   -2.05   0.27
   -2.01   0.00
