# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    6.17   0.01
    6.31   0.83
    6.82   1.83
    8.15   3.38
    6.69   3.86
    5.70   4.37
    4.76   4.76
    3.62   4.71
    2.83   4.90
    2.20   5.31
    1.47   5.47
    0.79   5.96
    0.00   6.20
   -0.92   7.02
   -1.42   5.29
   -1.96   4.74
   -2.69   4.65
   -3.37   4.39
   -4.65   4.65
   -5.42   4.16
   -6.29   3.63
   -6.55   2.71
   -7.87   2.11
   -8.08   1.06
   -8.15   0.01
