# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  4.1880436192778458e-03  2.1778519425320298e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1 -5.4943968555745832e-05  3.2015728139983307e-04  3.6978889142932057e-03 -1.9910792998101387e-03  0.0000000000000000e+00  3.0276090084526484e-03
   2 -3.2746834557641896e-04  3.9767517049359017e-04  2.4004502818929540e-03 -3.5557648772851181e-03  0.0000000000000000e+00 -8.9992768539546974e-03
   3 -7.2017324262605982e-04 -2.0423735443415365e-04  6.5430603885498608e-04 -4.4536249763003433e-03  0.0000000000000000e+00 -1.4054752531047099e-02
   4 -1.3700556553286165e-03 -7.1907644782742794e-04 -9.4311163966901551e-04 -4.5777252005849284e-03  0.0000000000000000e+00  2.2648382706967015e-03
   5 -1.5603877434527784e-03 -2.7344894707417264e-04 -2.0500157155333236e-03 -3.7283959126838437e-03  0.0000000000000000e+00  3.4989084180504684e-02
   6 -6.5639168104915434e-04  6.3607231301910782e-04 -3.0699269435706541e-03 -2.1034901485064679e-03  0.0000000000000000e+00  7.1005253653000866e-02
   7  6.2005816709156578e-04  7.5626519270835611e-04 -3.9674641602052496e-03 -2.7204872805778257e-04  0.0000000000000000e+00  9.9022459777570140e-02
   8  7.4204584274835438e-04 -4.5444128233290076e-05 -3.7596641916707078e-03  1.5172668388726723e-03  0.0000000000000000e+00  9.9943409100224923e-02
   9 -3.6578073469294392e-04 -4.3970517828309269e-04 -2.3983435619241737e-03  3.1349376218652238e-03  0.0000000000000000e+00  8.7162765249266402e-02
  10 -1.4439040561123290e-03 -1.6423264887131545e-04 -9.8434423481824520e-04  4.3972642180236847e-03  0.0000000000000000e+00  7.8194022868110336e-02
  11 -1.6205702891461799e-03  1.3810087249354060e-04  2.3583975409926510e-04  4.8029160786935187e-03  0.0000000000000000e+00  8.6925569353156207e-02
  12 -1.0327512787998607e-03  8.4710529179123420e-05  1.6379383587542206e-03  4.1253515258961914e-03  0.0000000000000000e+00  1.1780028271328356e-01
  13 -3.3863785845727426e-04 -6.4854947467407915e-05  3.1302699390270282e-03  2.6611903009036613e-03  0.0000000000000000e+00  1.6116316463102695e-01
  14  4.3843606875916531e-05  6.8145307167958745e-05  4.0733754541739933e-03  7.1630371412862142e-04  0.0000000000000000e+00  1.9864312187101915e-01
  15  1.1265341495482512e-04  4.2699550863931730e-04  4.0117537372036972e-03 -1.3249853038354987e-03  0.0000000000000000e+00  2.1097336130991934e-01
  16  1.1372872188073439e-06  4.5029520782718414e-04  2.9568140038545515e-03 -3.0169352816329441e-03  0.0000000000000000e+00  2.0130691962294001e-01
  17 -4.6277476336244785e-04 -1.6821116065079085e-04  1.2294339109771913e-03 -4.1400207768826341e-03  0.0000000000000000e+00  1.9043601569681540e-01
  18 -1.3141011517592371e-03 -7.2928691140606856e-04 -4.3392274851421469e-04 -4.6154334314995951e-03  0.0000000000000000e+00  1.9780193315665195e-01
  19 -1.7612842001312782e-03 -3.7692252251108948e-04 -1.5585240321033535e-03 -4.1672418084745437e-03  0.0000000000000000e+00  2.2400873019355994e-01
  20 -1.0038216618007115e-03  5.2381200376542473e-04 -2.5714209699394305e-03 -2.7874293437216116e-03  0.0000000000000000e+00  2.5813342433628161e-01
  21  3.9980966982645325e-04  7.6808917901561484e-04 -3.7061506025036794e-03 -1.0300145627845196e-03  0.0000000000000000e+00  2.9227348483550192e-01
  22  8.3307967612166812e-04  3.0749598951538818e-05 -4.0183449414092562e-03  8.0657698854376977e-04  0.0000000000000000e+00  3.0395386494100302e-01
  23 -1.0441473205591073e-04 -3.8305923954352032e-04 -2.9841689338011056e-03  2.5654357471987920e-03  0.0000000000000000e+00  2.9562832178756204e-01
  24 -1.1777239420057400e-03 -6.6370424811598160e-05 -1.5756356419688517e-03  4.0458260007522184e-03  0.0000000000000000e+00  2.8357369831832602e-01
  25 -1.4761860244622436e-03  1.6941334854388290e-04 -2.6339734115160752e-04  4.7916110564661914e-03  0.0000000000000000e+00  2.8515398317423152e-01
  26 -1.1480054639259032e-03 -4.4326482401087537e-05  1.1938573271174111e-03  4.4762961816668667e-03  0.0000000000000000e+00  3.0988827945822783e-01
  27 -6.9199405413124671e-04 -2.2414920132270193e-04  2.6931752438225398e-03  3.2567536281321863e-03  0.0000000000000000e+00  3.5129463928208426e-01
  28 -2.4456554750897053e-04  7.5672784487463790e-05  3.7987582735552966e-03  1.4187947352152267e-03  0.0000000000000000e+00  3.9323652319442859e-01
  29  1.6334570748744828e-04  5.3428394960258968e-04  4.1418513510769403e-03 -6.2749470674600149e-04  0.0000000000000000e+00  4.1489018565595803e-01
  30  2.9268849154924623e-04  5.0720611988810331e-04  3.4437568902791755e-03 -2.4187779765697253e-03  0.0000000000000000e+00  4.1040240462783562e-01
  31 -1.8183731781633883e-04 -1.2966676281003960e-04  1.8251495936350973e-03 -3.7319682343989846e-03  0.0000000000000000e+00  3.9609596726824342e-01
  32 -1.1831565888897810e-03 -6.9320382022459168e-04  1.0926758639856723e-04 -4.5190617309658395e-03  0.0000000000000000e+00  3.9508386851805710e-01
  33 -1.8614477922786249e-03 -4.3601886257597342e-04 -1.0672067399302705e-03 -4.4875991216239931e-03  0.0000000000000000e+00  4.1372353756474950e-01
  34 -1.3139083533011628e-03  3.8860619984851859e-04 -2.0674298452365617e-03 -3.4201192965908184e-03  0.0000000000000000e+00  4.4458096265707148e-01
  35  8.5319509815990314e-05  7.1405083483751415e-04 -3.3297440059972222e-03 -1.7786626605495585e-03  0.0000000000000000e+00  4.8207191371697200e-01
  36  8.0141176065389960e-04  1.1279187626611228e-04 -4.1069447607150469e-03  6.4811446244331417e-05  0.0000000000000000e+00  5.0497128600435981e-01
  37  1.2429901698235996e-04 -3.1396773651419844e-04 -3.5029134924907594e-03  1.9391346293811862e-03  0.0000000000000000e+00  5.0435874354178478e-01
  38 -8.7799898072994881e-04  2.1239009851216113e-05 -2.1810639643123032e-03  3.5971303184244257e-03  0.0000000000000000e+00  4.9213375581590213e-01
  39 -1.2561818946990511e-03  2.2651872553234350e-04 -7.9243870821932945e-04  4.6313357375691389e-03  0.0000000000000000e+00  4.8737764737036166e-01
  40 -1.1606497160104982e-03 -1.2730694373967342e-04  7.4024239751733860e-04  4.6804058224261934e-03  0.0000000000000000e+00  5.0463320336884343e-01
  41 -9.8516686583124003e-04 -3.9066082680010150e-04  2.2435483416821667e-03  3.7677052666525894e-03  0.0000000000000000e+00  5.4184070560622566e-01
  42 -5.9624333117007508e-04  1.9404374489788737e-05  3.4108282467988317e-03  2.0948736010319704e-03  0.0000000000000000e+00  5.8489741002167772e-01
  43  8.4098957575239839e-05  6.2105446613092824e-04  4.0782001966131473e-03  8.9375183783946670e-05  0.0000000000000000e+00  6.1430824303299469e-01
  44  5.1849605464488466e-04  5.7646744253430499e-04  3.8155576899413187e-03 -1.7691088003452358e-03  0.0000000000000000e+00  6.1744396442084803e-01
  45  1.0515510466922892e-04 -9.7064203085231524e-05  2.4173362351969283e-03 -3.2439987402380242e-03  0.0000000000000000e+00  6.0260132990339021e-01
  46 -9.9711796709369012e-04 -6.2928364802036752e-04  6.8567816401029840e-04 -4.2986429845147771e-03  0.0000000000000000e+00  5.9470638554497546e-01
  47 -1.8620267765914961e-03 -4.3945381760985018e-04 -5.6632604580278336e-04 -4.6685241205494830e-03  0.0000000000000000e+00  6.0520141231916624e-01
  48 -1.5494992489914370e-03  2.6060538768063251e-04 -1.5767231292416134e-03 -3.9704837162578928e-03  0.0000000000000000e+00  6.3161581857190674e-01
  49 -2.7163162096495306e-04  5.9610436084998007e-04 -2.8885079189728221e-03 -2.4981052245563141e-03  0.0000000000000000e+00  6.6993815209689411e-01
  50  6.3558719112657882e-04  1.6616629246993150e-04 -4.0212057788744301e-03 -6.8808060436513561e-04  0.0000000000000000e+00  7.0253072997598542e-01
  51  2.8060646203656811e-04 -2.2149010271530568e-04 -3.9038080569701655e-03  1.2678103617412078e-03  0.0000000000000000e+00  7.1218826424509540e-01
  52 -5.6555586747833290e-04  1.0259593507547808e-04 -2.7771826164355320e-03  3.0717391157991441e-03  0.0000000000000000e+00  7.0290347780043472e-01
  53 -9.7552173464572254e-04  2.9323268169802121e-04 -1.3523092904120179e-03  4.3414613493524120e-03  0.0000000000000000e+00  6.9344125013279456e-01
  54 -1.0766717344642639e-03 -1.6518200608970371e-04  2.6438657100878976e-04  4.7322009781673958e-03  0.0000000000000000e+00  7.0249423421915946e-01
  55 -1.1940088505014359e-03 -5.3864787424145349e-04  1.7889607404786918e-03  4.1732460109080429e-03  0.0000000000000000e+00  7.3356121036502431e-01
  56 -9.6431357417319224e-04 -8.5740303047001395e-05  2.9560242239798163e-03  2.7320397347730960e-03  0.0000000000000000e+00  7.7496561171618716e-01
  57 -1.1724589009959998e-04  6.6452293838967843e-04  3.8374032279139604e-03  8.1307555821978487e-04  0.0000000000000000e+00  8.0942704956162836e-01
  58  6.5022277007773216e-04  6.5794059749356535e-04  4.0315374888443504e-03 -1.0745933246374337e-03  0.0000000000000000e+00  8.2171754231319571e-01
  59  3.7940565288628760e-04 -6.9090822636602546e-05  2.9737278827291504e-03 -2.6858763903499041e-03  0.0000000000000000e+00  8.0957215733439203e-01
  60 -7.7331670028768669e-04 -5.5800712777983913e-04  1.2879256208590869e-03 -3.9664300565461228e-03  0.0000000000000000e+00  7.9709130791433258e-01
  61 -1.7735563013257561e-03 -3.8929345431557629e-04 -4.5375552650482159e-05 -4.6988049415395538e-03  0.0000000000000000e+00  7.9956748185056148e-01
  62 -1.6865246879766206e-03  1.6611767368724130e-04 -1.1001279889709466e-03 -4.4033827270986113e-03  0.0000000000000000e+00  8.2038302805029550e-01
  63 -6.1465089918518422e-04  4.3449228407227625e-04 -2.4264008944895861e-03 -3.1626973144518191e-03  0.0000000000000000e+00  8.5749597634264363e-01
  64  3.5242856175405463e-04  1.5907287384369910e-04 -3.7840369951090431e-03 -1.4291304626012410e-03  0.0000000000000000e+00  8.9682056028368284e-01
  65  3.2733279420226537e-04 -1.1220525643953387e-04 -4.1384925630850947e-03  5.6424478101711707e-04  0.0000000000000000e+00  9.1778417572665483e-01
  66 -2.7072797121358369e-04  1.8809484610940799e-04 -3.3232944411270269e-03  2.4859092711131060e-03  0.0000000000000000e+00  9.1440496057860376e-01
  67 -6.5338315789275660e-04  3.5784875926601629e-04 -1.9343897594822326e-03  3.9443083775681986e-03  0.0000000000000000e+00  9.0250063544255421e-01
  68 -9.1031668540931686e-04 -1.6580664667454991e-04 -2.4441462013518055e-04  4.6377929030344536e-03  0.0000000000000000e+00  9.0343878641096365e-01
  69 -1.3059978647844913e-03 -6.4775758367062713e-04  1.3249502632767406e-03  4.4548058011025515e-03  0.0000000000000000e+00  9.2677845630572253e-01
  70 -1.3038930687123138e-03 -2.1524898439372972e-04  2.4714211305454630e-03  3.3154887568900239e-03  0.0000000000000000e+00  9.6439024035381693e-01
  71 -4.1221120123909765e-04  6.4965232771753217e-04  3.4585206319821373e-03  1.5326813613077848e-03  0.0000000000000000e+00  1.0009064557482219e+00
  72  6.6280608906277142e-04  7.3814454758598896e-04  4.0680207368023157e-03 -3.4483968335729300e-04  0.0000000000000000e+00  1.0224741922338616e+00
  73  6.1700987172511490e-04 -3.3575429077415684e-05  3.4569131813611681e-03 -2.0653049365356251e-03  0.0000000000000000e+00  1.0163573175914529e+00
  74 -5.2395332385094190e-04 -4.9372954144715582e-04  1.9032541449767301e-03 -3.5361027094354611e-03  0.0000000000000000e+00  1.0021978226387496e+00
  75 -1.6103788815905525e-03 -3.0199813419828231e-04  5.0172356871233030e-04 -4.5796786697089959e-03  0.0000000000000000e+00  9.9765131286397934e-01
  76 -1.7167775096644663e-03  1.1999551632030643e-04 -6.2736231644041588e-04 -4.6886728638745653e-03  0.0000000000000000e+00  1.0118501117535814e+00
  77 -8.9788148204658657e-04  2.5989562460559078e-04 -1.9691518280186004e-03 -3.7419969966233950e-03  0.0000000000000000e+00  1.0459761095044788e+00
  78 -4.2780352155976350e-06  8.1015012759126203e-05 -3.4373488729940176e-03 -2.1362267871428303e-03  0.0000000000000000e+00  1.0886288893946598e+00
  79  2.4367144587195374e-04 -1.2774479352397623e-05 -4.1802397528370883e-03 -1.5490342434138396e-04  0.0000000000000000e+00  1.1198598950257672e+00
  80 -3.1943282153734786e-05  2.8631046047795071e-04 -3.7655434798021014e-03  1.8518254414123974e-03  0.0000000000000000e+00  1.1247676208555570e+00
  81 -3.1493704509010206e-04  4.1632498916525397e-04 -2.5168712658080318e-03  3.4616266336954748e-03  0.0000000000000000e+00  1.1130837643850915e+00
  82 -6.8183451565025630e-04 -1.4080029732214478e-04 -7.9062359735656846e-04  4.4132618929994703e-03  0.0000000000000000e+00  1.1068842565186876e+00
  83 -1.3198177825637127e-03 -7.0540735697503147e-04  8.4130752425157424e-04  4.6005716369953336e-03  0.0000000000000000e+00  1.1214901747740991e+00
  84 -1.5778306089149234e-03 -3.4196682110456685e-04  1.9802552176687816e-03  3.8253322195431956e-03  0.0000000000000000e+00  1.1536329636354097e+00
  85 -7.5694606131009837e-04  5.7619270454426852e-04  2.9930992634176353e-03  2.2367240280627078e-03  0.0000000000000000e+00  1.1896662783107310e+00
  86  5.4369007657757956e-04  7.9210968118927300e-04  3.9263984745923743e-03  4.0619871878039515e-04  0.0000000000000000e+00  1.2191062537664159e+00
  87  7.8786022543323971e-04  2.3240186492873523e-05  3.8267144808519383e-03 -1.3903667078195405e-03  0.0000000000000000e+00  1.2219878873660099e+00
  88 -2.6103058799079634e-04 -4.3937783249875533e-04  2.5126496656280666e-03 -3.0224542569221137e-03  0.0000000000000000e+00  1.2094339048073710e+00
  89 -1.3872237848484364e-03 -2.0110058552712183e-04  1.0757318918376496e-03 -4.3238743673859230e-03  0.0000000000000000e+00  1.1997261554623850e+00
  90 -1.6463295906453473e-03  1.2325451584550384e-04 -1.4404315981343812e-04 -4.8107629886729349e-03  0.0000000000000000e+00  1.2067284522980248e+00
  91 -1.0925561488795638e-03  1.0307613999947240e-04 -1.5216488618044564e-03 -4.2067302254028072e-03  0.0000000000000000e+00  1.2361329776640779e+00
  92 -3.7881620466317657e-04 -5.4348022936919469e-05 -3.0263926735085208e-03 -2.7902644176797577e-03  0.0000000000000000e+00  1.2790191783964058e+00
  93  3.4324860282587489e-05  4.3657739894667445e-05 -4.0355755107453119e-03 -8.7170205115788394e-04  0.0000000000000000e+00  1.3177340993499924e+00
  94  1.1288964190126841e-04  3.9591564508792220e-04 -4.0520380401492268e-03  1.1789312563597037e-03  0.0000000000000000e+00  1.3321867422337117e+00
  95  1.0785362265931052e-05  4.7243011753780601e-04 -3.0646916011609856e-03  2.9103437431422540e-03  0.0000000000000000e+00  1.3235568128637965e+00
  96 -4.1307072932341625e-04 -1.0337505237706700e-04 -1.3692572443286626e-03  4.0786242283649679e-03  0.0000000000000000e+00  1.3120214535510750e+00
  97 -1.2448983864546928e-03 -7.0977034826168130e-04  3.2777324143110634e-04  4.6078553510754778e-03  0.0000000000000000e+00  1.3176956867505865e+00
  98 -1.7608746923003429e-03 -4.4062761547443782e-04  1.4906103044617796e-03  4.2369610746027242e-03  0.0000000000000000e+00  1.3430154974530610e+00
  99 -1.1018354418568198e-03  4.5946548916621664e-04  2.4908094390311804e-03  2.9089826298370888e-03  0.0000000000000000e+00  1.3767398214953512e+00
 100  3.0332211820778044e-04  7.9353150959232243e-04  3.6335649277572956e-03  1.1624859362769498e-03  0.0000000000000000e+00  1.4115728385778301e+00
 101  8.5875571528324550e-04  1.0132992869999774e-04  4.0462619084082364e-03 -6.7170761497234660e-04  0.0000000000000000e+00  1.4253235306990470e+00
 102 -5.2617588669253079e-06 -3.8543779601395465e-04  3.0874486031581870e-03 -2.4404549421257003e-03  0.0000000000000000e+00  1.4177935369426058e+00
 103 -1.1184706154581613e-03 -1.0489701603366379e-04  1.6726074907893026e-03 -3.9521148140947348e-03  0.0000000000000000e+00  1.4054855623053035e+00
 104 -1.4885842582441698e-03  1.6560193758685492e-04  3.6241979991721461e-04 -4.7719408130823980e-03  0.0000000000000000e+00  1.4054450152015860e+00
 105 -1.1857380795702430e-03 -1.4731640140988477e-05 -1.0756633985478531e-03 -4.5347847609697430e-03  0.0000000000000000e+00  1.4285151620714198e+00
 106 -7.2159096052961812e-04 -2.2016225480913656e-04 -2.5868436464116401e-03 -3.3736060155321636e-03  0.0000000000000000e+00  1.4690648401420920e+00
 107 -2.7211171288397051e-04  3.6525364153364716e-05 -3.7396817446455352e-03 -1.5708271366651652e-03  0.0000000000000000e+00  1.5117594914970245e+00
 108  1.3649835651572667e-04  5.0280615117920832e-04 -4.1503035300917805e-03  4.7754781796328433e-04  0.0000000000000000e+00  1.5354515567480820e+00
 109  2.9382067264914892e-04  5.3477398254456274e-04 -3.5339307586733505e-03  2.3019452193664136e-03  0.0000000000000000e+00  1.5326198152519483e+00
 110 -1.2402064466430853e-04 -6.5572103057103638e-05 -1.9644750982789412e-03  3.6527473327330868e-03  0.0000000000000000e+00  1.5182173840765805e+00
 111 -1.0989415154763892e-03 -6.7131599068462105e-04 -2.2091235635572835e-04  4.4831142362549955e-03  0.0000000000000000e+00  1.5156926521112299e+00
 112 -1.8428551332408507e-03 -4.9193954576211502e-04  9.9841084384154062e-04  4.5261594766113702e-03  0.0000000000000000e+00  1.5331898067789669e+00
 113 -1.4017517446718738e-03  3.2588071165574461e-04  1.9868467784160374e-03  3.5257020850805584e-03  0.0000000000000000e+00  1.5632815720498336e+00
 114 -2.1993751144508200e-05  7.2850922070074762e-04  3.2348113426238917e-03  1.9072533162527499e-03  0.0000000000000000e+00  1.6007668584027399e+00
 115  8.0297965131576055e-04  1.7886409755079631e-04  4.0931809146396445e-03  7.5217907311839641e-05  0.0000000000000000e+00  1.6254617095264685e+00
 116  2.1044139993634317e-04 -3.1602890600956543e-04  3.5861958953618631e-03 -1.8034109679058261e-03  0.0000000000000000e+00  1.6261771877758000e+00
 117 -8.1975079992616551e-04 -1.9119006077264354e-05  2.2803756613995947e-03 -3.4871474911208305e-03  0.0000000000000000e+00  1.6142723691904575e+00
 118 -1.2578134655095740e-03  2.3055255089505944e-04  8.9893553871973149e-04 -4.5867790661285749e-03  0.0000000000000000e+00  1.6082062318114636e+00
 119 -1.1763322738098348e-03 -8.5856770801588449e-05 -6.1869165846214070e-04 -4.7128215193827658e-03  0.0000000000000000e+00  1.6237177476707798e+00
 120 -9.9761873259443870e-04 -3.8772476951232299e-04 -2.1385549694523383e-03 -3.8667452898133651e-03  0.0000000000000000e+00  1.6597545612121984e+00
 121 -6.3250214071980447e-04 -3.3224372847877151e-05 -3.3400592304551496e-03 -2.2393946940410829e-03  0.0000000000000000e+00  1.7031284817898784e+00
 122  2.9899147718157774e-05  5.8442152786093108e-04 -4.0551856504947295e-03 -2.3973841540388702e-04  0.0000000000000000e+00  1.7341793918644595e+00
 123  5.0486004233877549e-04  6.0997415856160167e-04 -3.8782552159990604e-03  1.6439598822524195e-03  0.0000000000000000e+00  1.7393908716623285e+00
 124  1.6698000397255111e-04 -3.4013674874965049e-05 -2.5498934729983090e-03  3.1496403679582281e-03  0.0000000000000000e+00  1.7250685976124436e+00
 125 -9.0219925411311023e-04 -6.0896826527807109e-04 -8.0256667712924395e-04  4.2376820760506905e-03  0.0000000000000000e+00  1.7159830921583639e+00
 126 -1.8272214562839171e-03 -4.8660424891762519e-04  4.9343993987227617e-04  4.6744316520361765e-03  0.0000000000000000e+00  1.7251933058016442e+00
 127 -1.6218300656283256e-03  2.0532694545412290e-04  1.4966696513042904e-03  4.0552568672306104e-03  0.0000000000000000e+00  1.7504964660399203e+00
 128 -3.7873445780443725e-04  6.0271023800090068e-04  2.7808863626154279e-03  2.6202627732886253e-03  0.0000000000000000e+00  1.7882651643136893e+00
 129  6.1373327396979486e-04  2.2052542743342305e-04  3.9695092594058739e-03  8.2991158431668750e-04  0.0000000000000000e+00  1.8220740801103028e+00
 130  3.4630241746363342e-04 -2.2212774240759254e-04  3.9582879575033297e-03 -1.1228555250752130e-03  0.0000000000000000e+00  1.8334403581403067e+00
 131 -5.1253814760334263e-04  6.1978348650692703e-05  2.8732005823164644e-03 -2.9486221095933142e-03  0.0000000000000000e+00  1.8250844958196966e+00
 132 -9.6900541086076956e-04  3.0179740699504809e-04  1.4650933346622621e-03 -4.2753185949671400e-03  0.0000000000000000e+00  1.8147994233802713e+00
 133 -1.0721237091712793e-03 -1.1340142359525891e-04 -1.3793620267889788e-04 -4.7373148319241236e-03  0.0000000000000000e+00  1.8221749286505131e+00
 134 -1.1854715642675958e-03 -5.3208075113377268e-04 -1.6856173387757398e-03 -4.2487990559472028e-03  0.0000000000000000e+00  1.8517978290552537e+00
 135 -9.9948807488709716e-04 -1.4770168798459800e-04 -2.8814381695426270e-03 -2.8645568840256095e-03  0.0000000000000000e+00  1.8931544470040398e+00
 136 -1.9440025440237868e-04  6.1856412793837446e-04 -3.7880162946275719e-03 -9.6062047609492881e-04  0.0000000000000000e+00  1.9286803167132209e+00
 137  6.1571572461093600e-04  6.9500980445066831e-04 -4.0590008800170238e-03  9.4327798142025438e-04  0.0000000000000000e+00  1.9431389099599636e+00
 138  4.3978745358914375e-04 -5.1681476220600579e-06 -3.0913674914752579e-03  2.5784659615023368e-03  0.0000000000000000e+00  1.9321376920064870e+00
 139 -6.7137525409658848e-04 -5.4218216541371158e-04 -1.4083434699984714e-03  3.8842165124272870e-03  0.0000000000000000e+00  1.9189024488553039e+00
 140 -1.7256665170081863e-03 -4.2926062703059590e-04 -3.3938111122584237e-05  4.6731190585195320e-03  0.0000000000000000e+00  1.9201193800658400e+00
 141 -1.7407270764295563e-03  1.2231948090578318e-04  1.0190036209566976e-03  4.4626704943777611e-03  0.0000000000000000e+00  1.9395154829781649e+00
 142 -7.1187187641061985e-04  4.3875649650656600e-04  2.3135288035568838e-03  3.2746835666921234e-03  0.0000000000000000e+00  1.9756723076442233e+00
 143  3.1332083264614817e-04  1.9765509839848026e-04  3.7032294028548065e-03  1.5693420485301142e-03  0.0000000000000000e+00  2.0155244869345648e+00
 144  3.6719448500811971e-04 -1.1422827138999777e-04  4.1584465190171510e-03 -4.1237309113365737e-04  0.0000000000000000e+00  2.0382861360122000e+00
 145 -2.2871139797334768e-04  1.4942817465774829e-04  3.4078260279014356e-03 -2.3521541029743625e-03  0.0000000000000000e+00  2.0364130153568052e+00
 146 -6.4203817583156756e-04  3.6886514702087346e-04  2.0504117307197185e-03 -3.8603058102770500e-03  0.0000000000000000e+00  2.0243015953448480e+00
 147 -8.8856575640937872e-04 -1.0648972468020358e-04  3.7663553982669181e-04 -4.6167703645716516e-03  0.0000000000000000e+00  2.0237943462625547e+00
