
n = 1:
      sh1(2) =   2.9583359 3
      sh1(3) =   2.9583359 3
      sh1(4) =   2.9583359 3
      sh1(5) =   2.9583359 3
      sh1(6) =   2.9583359 3
      sh1(7) =   2.9583359 3
      sh1(8) =   2.9583359 3
      sh1(9) =   2.9583359 3
      sh1(10) =   2.9583359 3
      sh3(1) =  -1.0521238 3
      sh3(2) =  -1.0521238 3
      sh3(3) =  -1.0521238 3
      sh3(4) =  -1.0521238 3
      sh3(5) =  -1.0521238 3
      sh3(6) =  -1.0521238 3
      sh3(7) =  -1.0521238 3
      sh3(8) =  -1.0521238 3
      sh3(9) =  -1.0521238 3
      sh3(10) =  -1.0521238 3
      sh4(1) =  -1.1800781 3
      sh4(2) =  -1.1800781 3
      sh4(3) =  -1.1800781 3
      sh4(4) =  -1.1800781 3
      sh4(5) =  -1.1800781 3
      sh4(6) =  -1.1800781 3
      sh4(7) =  -1.1800781 3
      sh4(8) =  -1.1800781 3
      sh4(9) =  -1.1800781 3
      sh4(10) =  -1.1800781 3
     sm1a(1) =  -2.3643613 3
     sm1a(2) =  -2.3643613 3
     sm1a(3) =  -2.3643613 3
     sm1a(4) =  -2.3643613 3
     sm1a(5) =  -2.3643613 3
     sm1a(6) =  -2.3643613 3
     sm1a(7) =  -2.3643613 3
     sm1a(8) =  -2.3643613 3
     sm1a(9) =  -2.3643613 3
     sm1a(10) =  -2.3643613 3
     sm1b(1) =  -2.5801379 3
     sm1b(2) =  -2.5801379 3
     sm1b(3) =  -2.5801379 3
     sm1b(4) =  -2.5801379 3
     sm1b(5) =  -2.5801379 3
     sm1b(6) =  -2.5801379 3
     sm1b(7) =  -2.5801379 3
     sm1b(8) =  -2.5801379 3
     sm1b(9) =  -2.5801379 3
     sm1b(10) =  -2.5801379 3
      sm2(1) =   3.5000000 3
      sm2(2) =   3.5000000 3
      sm2(3) =   3.5000000 3
      sm2(4) =   3.5000000 3
      sm2(5) =   3.5000000 3
      sm2(6) =   3.5000000 3
      sm2(7) =   3.5000000 3
      sm2(8) =   3.5000000 3
      sm2(9) =   3.5000000 3
      sm2(10) =   3.5000000 3
      sm3(1) =   0.1213298 3
      sm3(2) =   0.1213298 3
      sm3(3) =   0.1213298 3
      sm3(4) =   0.1213298 3
      sm3(5) =   0.1213298 3
      sm3(6) =   0.1213298 3
      sm3(7) =   0.1213298 3
      sm3(8) =   0.1213298 3
      sm3(9) =   0.1213298 3
      sm3(10) =   0.1213298 3
      sm3(11) =   0.1213298 3
      sm3(12) =   0.1213298 3
      sm3(13) =   0.1213298 3
      sm3(14) =   0.1213298 3
      sm3(15) =   0.1213298 3
      sm3(16) =   0.1213298 3
      sm3(17) =   0.1213298 3
      sm3(18) =   0.1213298 3
      sm3(19) =   0.1213298 3
      sm3(20) =   0.1213298 3
      sm3(1) =   2.0751782 4
      sm3(2) =   2.0751782 4
      sm3(3) =   2.0751782 4
      sm3(4) =   2.0751782 4
      sm3(5) =   2.0751782 4
      sm3(6) =   2.0751782 4
      sm3(7) =   2.0751782 4
      sm3(8) =   2.0751782 4
      sm3(9) =   2.0751782 4
      sm3(10) =   2.0751782 4
      sm3(11) =   2.0751782 4
      sm3(12) =   2.0751782 4
      sm3(13) =   2.0751782 4
      sm3(14) =   2.0751782 4
      sm3(15) =   2.0751782 4
      sm3(16) =   2.0751782 4
      sm3(17) =   2.0751782 4
      sm3(18) =   2.0751782 4
      sm3(19) =   2.0751782 4
      sm3(20) =   2.0751782 4
      sm3(1) = -109.9984798 5
      sm3(2) = -109.9984798 5
      sm3(3) = -109.9984798 5
      sm3(4) = -109.9984798 5
      sm3(5) = -109.9984798 5
      sm3(6) = -109.9984798 5
      sm3(7) = -109.9984798 5
      sm3(8) = -109.9984798 5
      sm3(9) = -109.9984798 5
      sm3(10) = -109.9984798 5
      sm3(11) = -109.9984798 5
      sm3(12) = -109.9984798 5
      sm3(13) = -109.9984798 5
      sm3(14) = -109.9984798 5
      sm3(15) = -109.9984798 5
      sm3(16) = -109.9984798 5
      sm3(17) = -109.9984798 5
      sm3(18) = -109.9984798 5
      sm3(19) = -109.9984798 5
      sm3(20) = -109.9984798 5

n = 3:
      sl1(1) =  -0.8241543 3
      sl1(2) =  -0.8241543 3
      sl1(3) =  -0.8241543 3
      sl1(4) =  -0.8241543 3
      sl1(5) =  -0.8241543 3
      sl1(6) =  -0.8241543 3
      sl1(7) =  -0.8241543 3
      sl1(8) =  -0.8241543 3
      sl1(9) =  -0.8241543 3
      sl1(10) =  -0.8241543 3
      sl2(1) =   3.0731585 3
      sl2(2) =   3.0731585 3
      sl2(3) =   3.0731585 3
      sl2(4) =   3.0731585 3
      sl2(5) =   3.0731585 3
      sl2(6) =   3.0731585 3
      sl2(7) =   3.0731585 3
      sl2(8) =   3.0731585 3
      sl2(9) =   3.0731585 3
      sl2(10) =   3.0731585 3
      sl3(1) =  -3.4735024 3
      sl3(2) =  -3.4735024 3
      sl3(3) =  -3.4735024 3
      sl3(4) =  -3.4735024 3
      sl3(5) =  -3.4735024 3
      sl3(6) =  -3.4735024 3
      sl3(7) =  -3.4735024 3
      sl3(8) =  -3.4735024 3
      sl3(9) =  -3.4735024 3
      sl3(10) =  -3.4735024 3
      sh1(1) =   2.7147857 3
      sh1(2) =   2.7147857 3
      sh1(3) =   2.7147857 3
      sh1(4) =   2.7147857 3
      sh1(5) =   2.7147857 3
      sh1(6) =   2.7147857 3
      sh1(7) =   2.7147857 3
      sh1(8) =   2.7147857 3
      sh1(9) =   2.7147857 3
      sh1(10) =   2.7147857 3
      sh3(1) =  -0.8306812 3
      sh3(2) =  -0.8306812 3
      sh3(3) =  -0.8306812 3
      sh3(4) =  -0.8306812 3
      sh3(5) =  -0.8306812 3
      sh3(6) =  -0.8306812 3
      sh3(7) =  -0.8306812 3
      sh3(8) =  -0.8306812 3
      sh3(9) =  -0.8306812 3
      sh3(10) =  -0.8306812 3
      sh4(1) =  -1.3185265 3
      sh4(2) =  -1.3185265 3
      sh4(3) =  -1.3185265 3
