
n = 1:
n = 7:
      sl1(1) =  -0.6828325 3
      sl1(2) =  -0.6828325 3
      sl2(1) =   1.1561885 3
      sl2(2) =   1.1561885 3
      sl3(1) =  -1.2678527 3
      sl3(2) =  -1.2678527 3
      sh1(1) =   2.2529535 3
      sh1(2) =   2.2529535 3
      sh3(1) =   0.2719932 3
      sh3(2) =   0.2719932 3
      sh4(1) =  -2.0461726 3
      sh4(2) =  -2.0461726 3
     sm1a(1) =  -1.5758456 3
     sm1a(2) =  -1.5758456 3
     sm1b(1) =  -2.4100825 3
     sm1b(2) =  -2.4100825 3
      sm2(1) =   3.2426188 3
      sm2(2) =   3.2426188 3
      sm3(1) =  -0.3528367 3
      sm3(2) =  -0.3528367 3
      sm3(3) =  -0.3528367 3
      sm3(4) =  -0.3528367 3
      sm3(1) =  -9.4935440 4
      sm3(2) =  -9.4935440 4
      sm3(3) =  -9.4935440 4
      sm3(4) =  -9.4935440 4
      sm3(1) =   5.1552547 5
      sm3(2) =   5.1552547 5
      sm3(3) =   5.1552547 5
      sm3(4) =   5.1552547 5

n = 8:
      sl1(1) =  -1.4790988 3
      sl1(2) =  -1.4790988 3
      sl2(1) =   1.8593320 3
      sl2(2) =   1.8593320 3
      sl3(1) =  -1.3694977 3
      sl3(2) =  -1.3694977 3
      sh1(1) =   1.8438312 3
      sh1(2) =   1.8438312 3
      sh3(1) =   0.6670457 3
      sh3(2) =   0.6670457 3
      sh4(1) =  -2.4823208 3
      sh4(2) =  -2.4823208 3
     sm1a(1) =  -1.4381533 3
     sm1a(2) =  -1.4381533 3
     sm1b(1) =  -2.7370578 3
     sm1b(2) =  -2.7370578 3
      sm2(1) =   3.3198332 3
      sm2(2) =   3.3198332 3
      sm3(1) =  -0.2769996 3
      sm3(2) =  -0.2769996 3
      sm3(3) =  -0.2769996 3
      sm3(4) =  -0.2769996 3
      sm3(1) =  -9.0703217 4
      sm3(2) =  -9.0703217 4
      sm3(3) =  -9.0703217 4
      sm3(4) =  -9.0703217 4
      sm3(1) =   5.0064361 5
      sm3(2) =   5.0064361 5
      sm3(3) =   5.0064361 5
      sm3(4) =   5.0064361 5

n = 9:
      sl1(1) =  -2.0853691 3
      sl1(2) =  -2.0853691 3
      sl2(1) =   2.3515324 3
      sl2(2) =   2.3515324 3
      sl3(1) =  -1.5901944 3
      sl3(2) =  -1.5901944 3
      sh1(1) =   2.2464416 3
      sh1(2) =   2.2464416 3
      sh3(1) =  -0.0145881 3
      sh3(2) =  -0.0145881 3
      sh4(1) =  -2.0056928 3
      sh4(2) =  -2.0056928 3
     sm1a(1) =  -1.3417487 3
     sm1a(2) =  -1.3417487 3
     sm1b(1) =  -2.9659404 3
     sm1b(2) =  -2.9659404 3
      sm2(1) =   3.3738832 3
      sm2(2) =   3.3738832 3
      sm3(1) =  -0.2238907 3
      sm3(2) =  -0.2238907 3
      sm3(3) =  -0.2238907 3
      sm3(4) =  -0.2238907 3
      sm3(1) =  -8.3632100 4
      sm3(2) =  -8.3632100 4
      sm3(3) =  -8.3632100 4
      sm3(4) =  -8.3632100 4
      sm3(1) =   4.1255002 5
      sm3(2) =   4.1255002 5
      sm3(3) =   4.1255002 5
      sm3(4) =   4.1255002 5

n = 10:
      sl1(1) =  -2.5097584 3
      sl1(2) =  -2.5097584 3
      sl2(1) =   2.6960727 3
      sl2(2) =   2.6960727 3
      sl3(1) =  -1.8738132 3
      sl3(2) =  -1.8738132 3
      sh1(1) =   2.5430707 3
      sh1(2) =   2.5430707 3
      sh3(1) =  -0.4716113 3
      sh3(2) =  -0.4716113 3
      sh4(1) =  -1.6394155 3
      sh4(2) =  -1.6394155 3
     sm1a(1) =  -1.2742535 3
     sm1a(2) =  -1.2742535 3
     sm1b(1) =  -3.1261583 3
     sm1b(2) =  -3.1261583 3
      sm2(1) =   3.4117183 3
      sm2(2) =   3.4117183 3
      sm3(1) =  -0.1867206 3
      sm3(2) =  -0.1867206 3
      sm3(3) =  -0.1867206 3
      sm3(4) =  -0.1867206 3
      sm3(1) =  -7.0733808 4
      sm3(2) =  -7.0733808 4
      sm3(3) =  -7.0733808 4
      sm3(4) =  -7.0733808 4
      sm3(1) =   3.7675759 5
      sm3(2) =   3.7675759 5
      sm3(3) =   3.7675759 5
      sm3(4) =   3.7675759 5

n = 11:
      sl1(1) =  -2.8068309 3
      sl1(2) =  -2.8068309 3
      sl2(1) =   2.9372509 3
      sl2(2) =   2.9372509 3
      sl3(1) =  -1.9944309 3
      sl3(2) =  -1.9944309 3
      sh1(1) =   2.8301495 3
      sh1(2) =   2.8301495 3
      sh3(1) =  -0.8495371 3
      sh3(2) =  -0.8495371 3
      sh4(1) =  -1.4227382 3
      sh4(2) =  -1.4227382 3
     sm1a(1) =  -1.0175667 3
     sm1a(2) =  -1.0175667 3
     sm1b(1) =  -3.2383108 3
     sm1b(2) =  -3.2383108 3
      sm2(1) =   3.3846922 3
      sm2(2) =   3.3846922 3
      sm3(1) =  -0.2640833 3
      sm3(2) =  -0.2640833 3
      sm3(3) =  -0.2640833 3
      sm3(4) =  -0.2640833 3
      sm3(1) =  -5.8391784 4
      sm3(2) =  -5.8391784 4
      sm3(3) =  -5.8391784 4
      sm3(4) =  -5.8391784 4
      sm3(1) =   3.3807177 5
      sm3(2) =   3.3807177 5
      sm3(3) =   3.3807177 5
      sm3(4) =   3.3807177 5

n = 12:
      sl1(1) =  -3.0147816 3
      sl1(2) =  -3.0147816 3
      sl2(1) =   3.1060756 3
      sl2(2) =   3.1060756 3
      sl3(1) =  -2.0404938 3
      sl3(2) =  -2.0404938 3
      sh1(1) =   3.0311046 3
      sh1(2) =   3.0311046 3
      sh3(1) =  -1.1156883 3
      sh3(2) =  -1.1156883 3
      sh4(1) =  -1.2873191 3
      sh4(2) =  -1.2873191 3
     sm1a(1) =  -0.8894357 3
     sm1a(2) =  -0.8894357 3
     sm1b(1) =  -3.2907847 3
     sm1b(2) =  -3.2907847 3
      sm2(1) =   3.3700067 3
      sm2(2) =   3.3700067 3
      sm3(1) =  -0.3042600 3
      sm3(2) =  -0.3042600 3
      sm3(3) =  -0.3042600 3
      sm3(4) =  -0.3042600 3
      sm3(1) =  -4.7856386 4
      sm3(2) =  -4.7856386 4
      sm3(3) =  -4.7856386 4
      sm3(4) =  -4.7856386 4
      sm3(1) =   3.1322192 5
      sm3(2) =   3.1322192 5
      sm3(3) =   3.1322192 5
      sm3(4) =   3.1322192 5

n = 13:
      sl1(1) =  -3.1603471 3
      sl1(2) =  -3.1603471 3
      sl2(1) =   3.2242529 3
      sl2(2) =   3.2242529 3
      sl3(1) =  -2.0860438 3
      sl3(2) =  -2.0860438 3
      sh1(1) =   3.1717732 3
      sh1(2) =   3.1717732 3
      sh3(1) =  -1.3003938 3
      sh3(2) =  -1.3003938 3
      sh4(1) =  -1.1636360 3
      sh4(2) =  -1.1636360 3
     sm1a(1) =  -0.9241730 3
     sm1a(2) =  -0.9241730 3
     sm1b(1) =  -3.2983914 3
     sm1b(2) =  -3.2983914 3
      sm2(1) =   3.3815226 3
      sm2(2) =   3.3815226 3
      sm3(1) =  -0.2837867 3
      sm3(2) =  -0.2837867 3
      sm3(3) =  -0.2837867 3
      sm3(4) =  -0.2837867 3
      sm3(1) =  -4.0350465 4
      sm3(2) =  -4.0350465 4
      sm3(3) =  -4.0350465 4
      sm3(4) =  -4.0350465 4
      sm3(1) =   3.0419667 5
      sm3(2) =   3.0419667 5
      sm3(3) =   3.0419667 5
      sm3(4) =   3.0419667 5

n = 14:
      sl1(1) =  -3.2622430 3
      sl1(2) =  -3.2622430 3
      sl2(1) =   3.3069770 3
      sl2(2) =   3.3069770 3
      sl3(1) =  -2.1211931 3
      sl3(2) =  -2.1211931 3
      sh1(1) =   3.2702413 3
      sh1(2) =   3.2702413 3
      sh3(1) =  -1.4312283 3
      sh3(2) =  -1.4312283 3
      sh4(1) =  -1.0578464 3
      sh4(2) =  -1.0578464 3
     sm1a(1) =  -1.0282461 3
     sm1a(2) =  -1.0282461 3
     sm1b(1) =  -3.2875201 3
     sm1b(2) =  -3.2875201 3
      sm2(1) =   3.4044037 3
      sm2(2) =   3.4044037 3
      sm3(1) =  -0.2372164 3
      sm3(2) =  -0.2372164 3
      sm3(3) =  -0.2372164 3
      sm3(4) =  -0.2372164 3
      sm3(1) =  -3.5275557 4
      sm3(2) =  -3.5275557 4
      sm3(3) =  -3.5275557 4
      sm3(4) =  -3.5275557 4
      sm3(1) =   3.0178155 5
      sm3(2) =   3.0178155 5
      sm3(3) =   3.0178155 5
      sm3(4) =   3.0178155 5

n = 15:
      sl1(1) =  -3.3335701 3
      sl1(2) =  -3.3335701 3
      sl2(1) =   3.3648839 3
      sl2(2) =   3.3648839 3
      sl3(1) =  -2.1518261 3
      sl3(2) =  -2.1518261 3
      sh1(1) =   3.3391689 3
      sh1(2) =   3.3391689 3
      sh3(1) =  -1.5265379 3
      sh3(2) =  -1.5265379 3
      sh4(1) =  -0.9619911 3
      sh4(2) =  -0.9619911 3
     sm1a(1) =  -1.1750160 3
     sm1a(2) =  -1.1750160 3
     sm1b(1) =  -3.2617796 3
     sm1b(2) =  -3.2617796 3
      sm2(1) =   3.4330826 3
      sm2(2) =   3.4330826 3
      sm3(1) =  -0.1761116 3
      sm3(2) =  -0.1761116 3
      sm3(3) =  -0.1761116 3
      sm3(4) =  -0.1761116 3
      sm3(1) =  -3.1740875 4
      sm3(2) =  -3.1740875 4
      sm3(3) =  -3.1740875 4
      sm3(4) =  -3.1740875 4
      sm3(1) =   3.0485071 5
      sm3(2) =   3.0485071 5
      sm3(3) =   3.0485071 5
      sm3(4) =   3.0485071 5

n = 16:
      sl1(1) =  -3.3834991 3
      sl1(2) =  -3.3834991 3
      sl2(1) =   3.4054188 3
      sl2(2) =   3.4054188 3
      sl3(1) =  -2.2031335 3
      sl3(2) =  -2.2031335 3
      sh1(1) =   3.3874182 3
      sh1(2) =   3.3874182 3
      sh3(1) =  -1.6024882 3
      sh3(2) =  -1.6024882 3
      sh4(1) =  -0.8518818 3
      sh4(2) =  -0.8518818 3
     sm1a(1) =  -1.3029669 3
     sm1a(2) =  -1.3029669 3
     sm1b(1) =  -3.2250207 3
     sm1b(2) =  -3.2250207 3
      sm2(1) =   3.4531578 3
      sm2(2) =   3.4531578 3
      sm3(1) =  -0.1291357 3
      sm3(2) =  -0.1291357 3
      sm3(3) =  -0.1291357 3
      sm3(4) =  -0.1291357 3
      sm3(1) =  -2.6950991 4
      sm3(2) =  -2.6950991 4
      sm3(3) =  -2.6950991 4
      sm3(4) =  -2.6950991 4
      sm3(1) =   3.1056836 5
      sm3(2) =   3.1056836 5
      sm3(3) =   3.1056836 5
      sm3(4) =   3.1056836 5

n = 17:
      sl1(1) =  -3.4184493 3
      sl1(2) =  -3.4184493 3
      sl2(1) =   3.4337931 3
      sl2(2) =   3.4337931 3
      sl3(1) =  -2.3199345 3
      sl3(2) =  -2.3199345 3
      sh1(1) =   3.4211928 3
      sh1(2) =   3.4211928 3
      sh3(1) =  -1.6585662 3
      sh3(2) =  -1.6585662 3
      sh4(1) =  -0.6938681 3
      sh4(2) =  -0.6938681 3
     sm1a(1) =  -1.4458732 3
     sm1a(2) =  -1.4458732 3
     sm1b(1) =  -3.1596300 3
     sm1b(2) =  -3.1596300 3
      sm2(1) =   3.4672105 3
      sm2(2) =   3.4672105 3
      sm3(1) =  -0.0873677 3
      sm3(2) =  -0.0873677 3
      sm3(3) =  -0.0873677 3
      sm3(4) =  -0.0873677 3
      sm3(1) =  -1.8745593 4
      sm3(2) =  -1.8745593 4
