# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    6.17   0.01
    6.31   0.83
    6.82   1.83
    8.21   3.40
    6.67   3.85
    5.68   4.36
    4.63   4.63
    3.67   4.79
    2.83   4.90
    2.16   5.23
    1.46   5.46
    0.78   5.96
    0.00   6.29
   -0.81   6.14
   -1.40   5.23
   -1.98   4.77
   -2.62   4.54
   -3.39   4.42
   -4.19   4.19
   -5.36   4.11
   -6.12   3.54
   -6.58   2.73
   -7.91   2.12
   -8.05   1.06
   -8.12   0.01
