# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    5.00   0.00
    5.11   0.67
    5.21   1.40
    5.30   2.19
    4.27   2.46
    4.40   3.38
    3.55   3.55
    3.06   3.99
    1.96   3.40
    1.55   3.74
    1.24   4.64
    0.88   6.70
    0.00   5.44
   -0.45   3.46
   -0.82   3.05
   -1.13   2.74
   -1.53   2.64
   -1.86   2.42
   -2.09   2.09
   -2.79   2.14
   -2.52   1.45
   -3.02   1.25
   -2.96   0.79
   -3.04   0.40
   -3.16   0.00
