# Dynamical Aperture:
#    x      y
#   [mm]   [mm]
#
    1.02   0.00
    1.01   0.13
    1.04   0.28
    1.00   0.41
    1.05   0.61
    1.08   0.83
    1.09   1.09
    1.17   1.52
    1.65   2.86
    2.23   5.38
    1.63   6.07
    0.86   6.52
    0.00   6.78
   -1.13   8.62
   -2.37   8.85
   -3.70   8.93
   -4.27   7.39
   -4.67   6.08
   -4.62   4.62
   -2.91   2.24
   -2.34   1.35
   -2.18   0.90
   -2.07   0.55
   -2.05   0.27
   -2.01   0.00
