# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.67533 1.34800
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.8004056167422521e-04  9.4113689892635044e-19  1.9739113844525692e-03  1.3422591814628590e-18  0.0000000000000000e+00  0.0000000000000000e+00
   1  8.2429076756524130e-05  2.3747066100921420e-04 -1.2692974214899679e-03 -1.5949622161732368e-03  0.0000000000000000e+00 -4.4589192321240895e-03
   2  8.2742971716241815e-05 -2.2973747225727976e-04 -7.8368445077032231e-04  1.8251295061007832e-03  0.0000000000000000e+00  9.7868183009016839e-04
   3  3.2065288168990191e-04 -3.3509291485146337e-05  1.9262317970172218e-03 -5.4038995561521809e-04  0.0000000000000000e+00 -1.7134720617170815e-03
   4  4.3844159560889047e-05  2.8537951829916026e-04 -1.6496792633455240e-03 -1.2569922015138082e-03  0.0000000000000000e+00 -6.7605912421999214e-03
   5  6.0152069498097594e-05 -2.6857551743477857e-04 -2.4269277372018346e-04  1.9390552534767310e-03  0.0000000000000000e+00 -3.5528579180450124e-03
   6  4.1765547275381045e-04 -5.6090995723019560e-05  1.7708207292192117e-03 -1.0255832648208402e-03  0.0000000000000000e+00 -3.7000486282599975e-03
   7 -2.1225253499260785e-05  3.4511625280033163e-04 -1.8893034918241803e-03 -8.2647120568326985e-04  0.0000000000000000e+00 -7.9933948437263744e-03
   8  3.1144156723279142e-05 -3.2652951076586525e-04  3.0560036518959016e-04  1.9297125711589197e-03  0.0000000000000000e+00 -8.6784994192238181e-03
   9  5.1739381234260692e-04 -6.8430866018225360e-05  1.4847445436003963e-03 -1.4165890755441174e-03  0.0000000000000000e+00 -6.2063388750590422e-03
  10 -7.2160790583731063e-05  3.9149736078478988e-04 -1.9781139418452625e-03 -3.2371619911547074e-04  0.0000000000000000e+00 -8.6930493406895213e-03
  11 -1.0316120436459990e-05 -3.5835651570460624e-04  8.2234237260563764e-04  1.7834934409370780e-03  0.0000000000000000e+00 -1.3657980004351544e-02
  12  5.7438052363284638e-04 -8.6316005154203797e-05  1.0603946032528566e-03 -1.6921030605409578e-03  0.0000000000000000e+00 -9.2082018828888359e-03
  13 -6.0704216328744645e-05  4.1762376706679197e-04 -1.9303605776654824e-03  2.2086399577159934e-04  0.0000000000000000e+00 -9.7664723249661044e-03
  14 -8.2277066972900477e-05 -3.3333445794181963e-04  1.2734238546624882e-03  1.4916641803581136e-03  0.0000000000000000e+00 -1.7806227669034985e-02
  15  5.7503338342384982e-04 -1.2977685473540234e-04  5.2275132898500190e-04 -1.8469578678612160e-03  0.0000000000000000e+00 -1.2520235722623833e-02
  16  3.1936310729265005e-05  4.2749273315876798e-04 -1.7668804486842184e-03  7.6026000942180558e-04  0.0000000000000000e+00 -1.1928569844925317e-02
  17 -1.8246262910326012e-04 -2.5407880675692963e-04  1.6276401333110864e-03  1.0695763539452403e-03  0.0000000000000000e+00 -2.0636793144182278e-02
  18  5.3384451392331895e-04 -2.0277443177030440e-04 -7.0230783630785407e-05 -1.8867614231782403e-03  0.0000000000000000e+00 -1.6115851193059229e-02
  19  1.7546382614139721e-04  4.1896272656859532e-04 -1.4954107372008704e-03  1.2373501125147307e-03  0.0000000000000000e+00 -1.5231278461962752e-02
  20 -2.7503876170586030e-04 -1.4460557943414979e-04  1.8565845753371754e-03  5.5358933085163054e-04  0.0000000000000000e+00 -2.1854327615566022e-02
  21  4.6212394266929402e-04 -2.8550534543029800e-04 -6.4541402415472756e-04 -1.8063007062940335e-03  0.0000000000000000e+00 -1.9999001914354091e-02
  22  3.1725046777339488e-04  3.8195713768920020e-04 -1.1105983069741583e-03  1.5994664928430046e-03  0.0000000000000000e+00 -1.9195125230597035e-02
  23 -3.1211298490225721e-04 -2.5819122016914535e-05  1.9367897109646185e-03 -1.1149905129255329e-05  0.0000000000000000e+00 -2.1818826163152387e-02
  24  3.5293440129473670e-04 -3.5179874264425041e-04 -1.1388961774603729e-03 -1.5850956183493881e-03  0.0000000000000000e+00 -2.4016399037541124e-02
  25  4.2423812723469583e-04  3.1260538619998121e-04 -6.1469026166411788e-04  1.8156855412618854e-03  0.0000000000000000e+00 -2.3326091074617767e-02
  26 -2.7216794215832594e-04  9.4294063848519085e-05  1.8579396413828020e-03 -5.7428569727428357e-04  0.0000000000000000e+00 -2.1740077718072976e-02
  27  2.0773361967669910e-04 -3.8932698747831288e-04 -1.5178237531502145e-03 -1.2194002519901014e-03  0.0000000000000000e+00 -2.7871362656411242e-02
  28  4.9670536043042721e-04  2.2563030717683279e-04 -4.0479175168355363e-05  1.8905530796120833e-03  0.0000000000000000e+00 -2.7306025215706523e-02
  29 -1.7958101924934303e-04  2.0704943283631611e-04  1.6281174952160404e-03 -1.0862091440720302e-03  0.0000000000000000e+00 -2.2847665688173448e-02
  30  6.1815191540168536e-05 -4.0186397880395219e-04 -1.7813803083622695e-03 -7.4019524365969141e-04  0.0000000000000000e+00 -3.1082005087983193e-02
  31  5.4113139175400503e-04  1.5002169593268037e-04  5.4941199136484067e-04  1.8450160504256622e-03  0.0000000000000000e+00 -3.0939098243274357e-02
  32 -8.2332910359774364e-05  2.9030876657148242e-04  1.2706232439792891e-03 -1.5033079563161850e-03  0.0000000000000000e+00 -2.5541741458543162e-02
  33 -3.1420357827561785e-05 -3.9786783503095881e-04 -1.9370004476253399e-03 -1.9993405456202127e-04  0.0000000000000000e+00 -3.3191424924707627e-02
  34  5.4481067136914849e-04  1.0650059021784788e-04  1.0830195405941480e-03  1.6847344850729339e-03  0.0000000000000000e+00 -3.4202850780122113e-02
  35 -1.4528000133931059e-05  3.1945713003572415e-04  8.1549165021913938e-04 -1.7906949722601994e-03  0.0000000000000000e+00 -2.9561170902146085e-02
  36 -4.2497366241029213e-05 -3.7817230284742793e-04 -1.9785238732000147e-03  3.4396046119174813e-04  0.0000000000000000e+00 -3.4257248028131675e-02
  37  4.9269225933515348e-04  9.0379379670978328e-05  1.5029119760027292e-03  1.4050393870104145e-03  0.0000000000000000e+00 -3.7080620179031319e-02
  38  2.2996246724898255e-05  2.9196535728805460e-04  2.9585753918684086e-04 -1.9337484193901254e-03  0.0000000000000000e+00 -3.4438700217981018e-02
  39  8.4418604203311590e-06 -3.3838822696419940e-04 -1.8854391696136667e-03  8.4416431731660128e-04  0.0000000000000000e+00 -3.4976245618126317e-02
  40  3.9850333869310880e-04  8.0425286419785774e-05  1.7839667477432370e-03  1.0116004166918842e-03  0.0000000000000000e+00 -3.9426378882106941e-02
  41  4.8299836642637243e-05  2.3876923856425080e-04 -2.5318733633751880e-04 -1.9404927767167101e-03  0.0000000000000000e+00 -3.9496101055088606e-02
  42  7.2259714632701174e-05 -2.8540379362095567e-04 -1.6427958213702323e-03  1.2704097404298959e-03  0.0000000000000000e+00 -3.6231436970571733e-02
  43  3.0785086935284159e-04  5.9905436974746884e-05  1.9333602519460177e-03  5.2536119800097468e-04  0.0000000000000000e+00 -4.1271514082096700e-02
  44  6.6693047611627944e-05  2.0520357237201718e-04 -7.9298955076595055e-04 -1.8230474202136314e-03  0.0000000000000000e+00 -4.3990219639710379e-02
  45  1.0817993447909841e-04 -2.4426867561609737e-04 -1.2596795728912311e-03  1.6030277209194903e-03  0.0000000000000000e+00 -3.8543545284401966e-02
  46  2.7424188352462558e-04  2.7718560933466378e-05  1.9739983867316929e-03 -1.5369609701650801e-05  0.0000000000000000e+00 -4.2917220858829694e-02
  47  6.1687137241159539e-05  2.1873590032249989e-04 -1.2763846583143364e-03 -1.5877775493660490e-03  0.0000000000000000e+00 -4.7451242046621128e-02
  48  1.0497653527100800e-04 -2.4309352052272304e-04 -7.7128306836842203e-04  1.8278680060978803e-03  0.0000000000000000e+00 -4.2024848247945702e-02
  49  3.2202874079019034e-04 -5.3814457402962440e-06  1.9188302579153187e-03 -5.5576561827799754e-04  0.0000000000000000e+00 -4.4664984300480368e-02
  50  1.8956240422851210e-05  2.7294373335204569e-04 -1.6543754821275313e-03 -1.2438558184273559e-03  0.0000000000000000e+00 -4.9735118987020988e-02
  51  7.8770399729749077e-05 -2.8803342764797783e-04 -2.2816292823600245e-04  1.9374447523533033e-03  0.0000000000000000e+00 -4.6563359006274778e-02
  52  4.2582460308521051e-04 -2.8714392425578395e-05  1.7562771570447506e-03 -1.0403486510651531e-03  0.0000000000000000e+00 -4.6769373120847668e-02
  53 -4.8588897482763518e-05  3.3942836652005033e-04 -1.8914506617783995e-03 -8.0783292030359220e-04  0.0000000000000000e+00 -5.0941255653113603e-02
  54  4.6099344095376264e-05 -3.5150373231199655e-04  3.2038730367071915e-04  1.9244836642467239e-03  0.0000000000000000e+00 -5.1718619212008404e-02
  55  5.3170792464473629e-04 -4.2865132041878669e-05  1.4638634850279635e-03 -1.4293372167708293e-03  0.0000000000000000e+00 -4.9422469807966725e-02
  56 -1.0004580721287286e-04  3.9292927757448632e-04 -1.9767321831390410e-03 -3.0118308058978691e-04  0.0000000000000000e+00 -5.1611746478717330e-02
  57  4.0864891333816215e-07 -3.8842344346273641e-04  8.3473621736282922e-04  1.7741876272759627e-03  0.0000000000000000e+00 -5.6762248220752341e-02
  58  5.9433223792753622e-04 -6.2665410865954171e-05  1.0340481441548602e-03 -1.7008465888317960e-03  0.0000000000000000e+00 -5.2544134950682560e-02
  59 -8.8166916146641144e-05  4.2643590565207912e-04 -1.9235866749137615e-03  2.4492371725150523e-04  0.0000000000000000e+00 -5.2674222113818343e-02
  60 -7.6072719842501808e-05 -3.6856573119975884e-04  1.2813853051146479e-03  1.4773477942372775e-03  0.0000000000000000e+00 -6.1013775740902526e-02
  61  6.0046252336848989e-04 -1.0653426107796447e-04  4.9206285619482417e-04 -1.8501482014965590e-03  0.0000000000000000e+00 -5.5914358261801238e-02
  62  3.8068207026420087e-06  4.4339296107107491e-04 -1.7528169248058408e-03  7.8342592892084696e-04  0.0000000000000000e+00 -5.4863824210747252e-02
  63 -1.7935202210845640e-04 -2.9484230224741597e-04  1.6311850699234477e-03  1.0502287299104650e-03  0.0000000000000000e+00 -6.3974556813891748e-02
  64  5.6408656086039230e-04 -1.7710400882626405e-04 -1.0351875128912342e-04 -1.8838756844716030e-03  0.0000000000000000e+00 -5.9495171110318990e-02
  65  1.4421999989696146e-04  4.4025377299964768e-04 -1.4735646165628836e-03  1.2576789999641067e-03  0.0000000000000000e+00 -5.8234894741342837e-02
  66 -2.7178844403842302e-04 -1.9064689998483697e-04  1.8578730089668471e-03  5.3067229047492237e-04  0.0000000000000000e+00 -6.5319049109806057e-02
  67  4.9489187416530103e-04 -2.5509492213796493e-04 -6.7874847082715446e-04 -1.7974315570138558e-03  0.0000000000000000e+00 -6.3306619585167229e-02
  68  2.8123549527781986e-04  4.0525742223313280e-04 -1.0828169193713400e-03  1.6153523241447707e-03  0.0000000000000000e+00 -6.2297896982384582e-02
  69 -3.0581425637432412e-04 -7.5484558950378167e-05  1.9384714335032307e-03 -3.4775902052068483e-05  0.0000000000000000e+00 -6.5366842494528288e-02
  70  3.8527059458022940e-04 -3.1716694409510284e-04 -1.1690174079868286e-03 -1.5711239188722647e-03  0.0000000000000000e+00 -6.7225888597232164e-02
  71  3.8430629338722061e-04  3.3424066510921789e-04 -5.8469519492937959e-04  1.8260863051725270e-03  0.0000000000000000e+00 -6.6551050517360641e-02
  72 -2.6301164963692705e-04  4.3558350355404626e-05  1.8608294451073538e-03 -5.9530567662700775e-04  0.0000000000000000e+00 -6.5292801822999166e-02
  73  2.3826395604526171e-04 -3.5369296820708841e-04 -1.5415967166677424e-03 -1.2021252950693479e-03  0.0000000000000000e+00 -7.0968792768781819e-02
  74  4.5564901147760714e-04  2.4402453908949019e-04 -1.1996056962734102e-05  1.8952453755445989e-03  0.0000000000000000e+00 -7.0647775405487001e-02
  75 -1.7052938568833882e-04  1.5731207502049825e-04  1.6306441440028803e-03 -1.1023503502709132e-03  0.0000000000000000e+00 -6.6326208290210409e-02
  76  9.1178265342558621e-05 -3.6870969733420345e-04 -1.7967608665797859e-03 -7.2115524388943796e-04  0.0000000000000000e+00 -7.4069107713469168e-02
  77  5.0148886701730053e-04  1.6627200957489762e-04  5.7432292224424142e-04  1.8438946283660736e-03  0.0000000000000000e+00 -7.4341058614227837e-02
  78 -7.6260571489705377e-05  2.4259878667027497e-04  1.2704763797487741e-03 -1.5139793897014696e-03  0.0000000000000000e+00 -6.8899323507736948e-02
  79 -1.8809595457653823e-06 -3.6924845600345844e-04 -1.9437028118687476e-03 -1.8000485296148472e-04  0.0000000000000000e+00 -7.6106464703739732e-02
  80  5.0795015140740665e-04  1.2283822376141966e-04  1.1038430008569378e-03  1.6778850328027181e-03  0.0000000000000000e+00 -7.7573636358673370e-02
  81 -1.2562646443007935e-05  2.7428777150449474e-04  8.1145830868922613e-04 -1.7968267620841203e-03  0.0000000000000000e+00 -7.2786444586513316e-02
  82 -1.1950768586420181e-05 -3.5492350198301753e-04 -1.9778992506203673e-03  3.6380300953679719e-04  0.0000000000000000e+00 -7.7155054575461998e-02
  83  4.5948768623313787e-04  1.0875389329685501e-04  1.5197170904177526e-03  1.3934268543959424e-03  0.0000000000000000e+00 -8.0334520058409326e-02
  84  2.1059507160002494e-05  2.4985134869589436e-04  2.8850183338193132e-04 -1.9369563552219398e-03  0.0000000000000000e+00 -7.7545264474718392e-02
  85  3.9904301477462802e-05 -3.2107215019600780e-04 -1.8794649112729650e-03  8.6239474393651086e-04  0.0000000000000000e+00 -7.7895135805628471e-02
  86  3.6993467514701472e-04  1.0192942736921302e-04  1.7964637265867780e-03  9.9682638388010319e-04  0.0000000000000000e+00 -8.2517087475593595e-02
  87  4.2503403309394497e-05  2.0028618719676171e-04 -2.6202477437752393e-04 -1.9415417294431235e-03  0.0000000000000000e+00 -8.2513219998143261e-02
  88  1.0375641065383548e-04 -2.7466638318793582e-04 -1.6329504673370462e-03  1.2851583445193408e-03  0.0000000000000000e+00 -7.9179147886610318e-02
  89  2.8504788336550203e-04  8.4737022247966123e-05  1.9404379818767593e-03  5.0891214952003951e-04  0.0000000000000000e+00 -8.4206426056006339e-02
  90  5.6129592489306739e-05  1.7096537807651430e-04 -8.0119023717421702e-04 -1.8209154561905849e-03  0.0000000000000000e+00 -8.6951309348436506e-02
  91  1.3837734158019324e-04 -2.4056454025539871e-04 -1.2463901950227464e-03  1.6126356552323823e-03  0.0000000000000000e+00 -8.1501638251118308e-02
  92  2.5822703103148097e-04  5.5445964529691172e-05  1.9740805836718986e-03 -3.2547320443001491e-05  0.0000000000000000e+00 -8.5758887721459648e-02
  93  4.5361880504928844e-05  1.8941999342652588e-04 -1.2825004298358722e-03 -1.5803867739599569e-03  0.0000000000000000e+00 -9.0380471940229606e-02
